scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
1,18.75,2.5,0,1,0,1,0.01,0.02,0.02,4,2,0.05
2,21.590909090909093,2.2727272727272725,0,1.1,0,1,0.01,0.02,0.02,4,2,0.05
3,23.958333333333332,2.083333333333333,0,1.2,0,1,0.01,0.02,0.02,4,2,0.05
4,25.961538461538463,1.923076923076923,0,1.3,0,1,0.01,0.02,0.02,4,2,0.05
5,27.678571428571423,1.785714285714286,0,1.4,0,1,0.01,0.02,0.02,4,2,0.05
6,29.166666666666664,1.6666666666666665,0,1.5,0,1,0.01,0.02,0.02,4,2,0.05
7,30.46875,1.5625,0,1.6,0,1,0.01,0.02,0.02,4,2,0.05
8,31.61764705882353,1.4705882352941173,0,1.7000000000000002,0,1,0.01,0.02,0.02,4,2,0.05
9,32.63888888888889,1.3888888888888888,0,1.8,0,1,0.01,0.02,0.02,4,2,0.05
10,33.55263157894737,1.3157894736842104,0,1.9,0,1,0.01,0.02,0.02,4,2,0.05
11,34.375,1.25,0,2,0,1,0.01,0.02,0.02,4,2,0.05
12,35.11904761904761,1.1904761904761905,0,2.1,0,1,0.01,0.02,0.02,4,2,0.05
13,35.79545454545455,1.1363636363636362,0,2.2,0,1,0.01,0.02,0.02,4,2,0.05
14,36.41304347826087,1.0869565217391306,0,2.3,0,1,0.01,0.02,0.02,4,2,0.05
15,36.97916666666667,1.0416666666666665,0,2.4000000000000004,0,1,0.01,0.02,0.02,4,2,0.05
16,37.5,1,0,2.5,0,1,0.01,0.02,0.02,4,2,0.05
17,37.980769230769226,0.9615384615384615,0,2.6,0,1,0.01,0.02,0.02,4,2,0.05
18,38.42592592592593,0.9259259259259257,0,2.7,0,1,0.01,0.02,0.02,4,2,0.05
19,38.83928571428571,0.892857142857143,0,2.8,0,1,0.01,0.02,0.02,4,2,0.05
20,39.224137931034484,0.8620689655172412,0,2.9000000000000004,0,1,0.01,0.02,0.02,4,2,0.05
21,39.58333333333333,0.8333333333333333,0,3,0,1,0.01,0.02,0.02,4,2,0.05
22,39.91935483870967,0.8064516129032259,0,3.1,0,1,0.01,0.02,0.02,4,2,0.05
23,40.234375,0.78125,0,3.2,0,1,0.01,0.02,0.02,4,2,0.05
24,40.53030303030303,0.7575757575757575,0,3.3000000000000003,0,1,0.01,0.02,0.02,4,2,0.05
25,40.80882352941176,0.7352941176470587,0,3.4000000000000004,0,1,0.01,0.02,0.02,4,2,0.05
26,41.07142857142857,0.7142857142857143,0,3.5,0,1,0.01,0.02,0.02,4,2,0.05
27,41.31944444444444,0.6944444444444444,0,3.6,0,1,0.01,0.02,0.02,4,2,0.05
28,41.554054054054056,0.6756756756756757,0,3.7,0,1,0.01,0.02,0.02,4,2,0.05
29,41.776315789473685,0.6578947368421052,0,3.8000000000000003,0,1,0.01,0.02,0.02,4,2,0.05
30,41.98717948717949,0.641025641025641,0,3.9000000000000004,0,1,0.01,0.02,0.02,4,2,0.05
