scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
1,26.5625,1.8749999999999998,0,1,0,1,0.01,0.02,0.02,4,2,0.0375
2,28.693181818181824,1.7045454545454541,0,1.1,0,1,0.01,0.02,0.02,4,2,0.0375
3,30.46875,1.5624999999999998,0,1.2,0,1,0.01,0.02,0.02,4,2,0.0375
4,31.97115384615385,1.442307692307692,0,1.3,0,1,0.01,0.02,0.02,4,2,0.0375
5,33.25892857142857,1.3392857142857144,0,1.4,0,1,0.01,0.02,0.02,4,2,0.0375
6,34.375,1.2499999999999998,0,1.5,0,1,0.01,0.02,0.02,4,2,0.0375
7,35.3515625,1.171875,0,1.6,0,1,0.01,0.02,0.02,4,2,0.0375
8,36.21323529411765,1.1029411764705879,0,1.7000000000000002,0,1,0.01,0.02,0.02,4,2,0.0375
9,36.97916666666667,1.0416666666666665,0,1.8,0,1,0.01,0.02,0.02,4,2,0.0375
10,37.66447368421053,0.9868421052631579,0,1.9,0,1,0.01,0.02,0.02,4,2,0.0375
11,38.28125,0.9374999999999999,0,2,0,1,0.01,0.02,0.02,4,2,0.0375
12,38.839285714285715,0.8928571428571428,0,2.1,0,1,0.01,0.02,0.02,4,2,0.0375
13,39.346590909090914,0.8522727272727271,0,2.2,0,1,0.01,0.02,0.02,4,2,0.0375
14,39.809782608695656,0.8152173913043479,0,2.3,0,1,0.01,0.02,0.02,4,2,0.0375
15,40.234375,0.7812499999999998,0,2.4000000000000004,0,1,0.01,0.02,0.02,4,2,0.0375
16,40.625,0.75,0,2.5,0,1,0.01,0.02,0.02,4,2,0.0375
17,40.98557692307693,0.721153846153846,0,2.6,0,1,0.01,0.02,0.02,4,2,0.0375
18,41.31944444444445,0.6944444444444442,0,2.7,0,1,0.01,0.02,0.02,4,2,0.0375
19,41.629464285714285,0.6696428571428572,0,2.8,0,1,0.01,0.02,0.02,4,2,0.0375
20,41.918103448275865,0.6465517241379309,0,2.9000000000000004,0,1,0.01,0.02,0.02,4,2,0.0375
