scenario_id,E,N_s,N_w,p_w,p_s,r_s,r_w,q_s,q_w,k_s,k_w,c
1,26.5625,3.919117647058824,0,1,1,1,0.01,0.02,0.02,4,2,0.0375
2,26.5625,3.9227678571428575,0,1.1,1,1,0.01,0.02,0.02,4,2,0.0375
3,26.5625,3.9258196721311482,0,1.2,1,1,0.01,0.02,0.02,4,2,0.0375
4,26.5625,3.9284090909090907,0,1.3,1,1,0.01,0.02,0.02,4,2,0.0375
5,26.5625,3.9306338028169017,0,1.4,1,1,0.01,0.02,0.02,4,2,0.0375
6,26.5625,3.9325657894736836,0,1.5,1,1,0.01,0.02,0.02,4,2,0.0375
7,26.5625,3.9342592592592593,0,1.6,1,1,0.01,0.02,0.02,4,2,0.0375
8,26.5625,3.935755813953488,0,1.7000000000000002,1,1,0.01,0.02,0.02,4,2,0.0375
9,26.5625,3.9370879120879128,0,1.8,1,1,0.01,0.02,0.02,4,2,0.0375
10,26.5625,3.93828125,0,1.9,1,1,0.01,0.02,0.02,4,2,0.0375
11,26.5625,3.9393564356435644,0,2,1,1,0.01,0.02,0.02,4,2,0.0375
12,26.5625,3.940330188679246,0,2.1,1,1,0.01,0.02,0.02,4,2,0.0375
13,26.5625,3.9412162162162163,0,2.2,1,1,0.01,0.02,0.02,4,2,0.0375
14,26.5625,3.9420258620689657,0,2.3,1,1,0.01,0.02,0.02,4,2,0.0375
15,26.5625,3.942768595041322,0,2.4000000000000004,1,1,0.01,0.02,0.02,4,2,0.0375
16,26.5625,3.9434523809523823,0,2.5,1,1,0.01,0.02,0.02,4,2,0.0375
17,26.5625,3.944083969465649,0,2.6,1,1,0.01,0.02,0.02,4,2,0.0375
18,26.5625,3.944669117647059,0,2.7,1,1,0.01,0.02,0.02,4,2,0.0375
19,26.5625,3.945212765957448,0,2.8,1,1,0.01,0.02,0.02,4,2,0.0375
20,26.5625,3.9457191780821925,0,2.9000000000000004,1,1,0.01,0.02,0.02,4,2,0.0375
21,26.5625,3.9461920529801326,0,3,1,1,0.01,0.02,0.02,4,2,0.0375
22,26.5625,3.946634615384616,0,3.1,1,1,0.01,0.02,0.02,4,2,0.0375
23,26.5625,3.9470496894409943,0,3.2,1,1,0.01,0.02,0.02,4,2,0.0375
24,26.5625,3.9474397590361447,0,3.3000000000000003,1,1,0.01,0.02,0.02,4,2,0.0375
25,26.5625,3.9478070175438598,0,3.4000000000000004,1,1,0.01,0.02,0.02,4,2,0.0375
26,26.5625,3.94815340909091,0,3.5,1,1,0.01,0.02,0.02,4,2,0.0375
27,26.5625,3.9484806629834264,0,3.6,1,1,0.01,0.02,0.02,4,2,0.0375
28,26.5625,3.9487903225806456,0,3.7,1,1,0.01,0.02,0.02,4,2,0.0375
29,26.5625,3.949083769633509,0,3.8000000000000003,1,1,0.01,0.02,0.02,4,2,0.0375
30,26.5625,3.94936224489796,0,3.9000000000000004,1,1,0.01,0.02,0.02,4,2,0.0375
31,26.5625,3.9496268656716422,0,4,1,1,0.01,0.02,0.02,4,2,0.0375
32,26.5625,3.9498786407766993,0,4.1,1,1,0.01,0.02,0.02,4,2,0.0375
33,26.5625,3.950118483412323,0,4.2,1,1,0.01,0.02,0.02,4,2,0.0375
34,26.5625,3.950347222222223,0,4.300000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
35,26.5625,3.9505656108597287,0,4.4,1,1,0.01,0.02,0.02,4,2,0.0375
36,26.5625,3.950774336283186,0,4.5,1,1,0.01,0.02,0.02,4,2,0.0375
37,26.5625,3.9509740259740265,0,4.6,1,1,0.01,0.02,0.02,4,2,0.0375
38,26.5625,3.951165254237288,0,4.7,1,1,0.01,0.02,0.02,4,2,0.0375
39,26.5625,3.9513485477178425,0,4.800000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
40,26.5625,3.951524390243902,0,4.9,1,1,0.01,0.02,0.02,4,2,0.0375
41,26.5625,3.9516932270916336,0,5,1,1,0.01,0.02,0.02,4,2,0.0375
42,26.5625,3.95185546875,0,5.1000000000000005,1,1,0.01,0.02,0.02,4,2,0.0375
43,26.5625,3.9520114942528726,0,5.2,1,1,0.01,0.02,0.02,4,2,0.0375
44,26.5625,3.952161654135338,0,5.3,1,1,0.01,0.02,0.02,4,2,0.0375
45,26.5625,3.95230627306273,0,5.4,1,1,0.01,0.02,0.02,4,2,0.0375
46,26.5625,3.9524456521739126,0,5.5,1,1,0.01,0.02,0.02,4,2,0.0375
47,26.5625,3.9525800711743773,0,5.6000000000000005,1,1,0.01,0.02,0.02,4,2,0.0375
48,26.5625,3.9527097902097896,0,5.7,1,1,0.01,0.02,0.02,4,2,0.0375
49,26.5625,3.9528350515463915,0,5.800000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
50,26.5625,3.9529560810810804,0,5.9,1,1,0.01,0.02,0.02,4,2,0.0375
51,26.5625,3.953073089700996,0,6,1,1,0.01,0.02,0.02,4,2,0.0375
52,26.5625,3.9531862745098034,0,6.1000000000000005,1,1,0.01,0.02,0.02,4,2,0.0375
53,26.5625,3.953295819935691,0,6.2,1,1,0.01,0.02,0.02,4,2,0.0375
54,26.5625,3.953401898734177,0,6.300000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
55,26.5625,3.9535046728971963,0,6.4,1,1,0.01,0.02,0.02,4,2,0.0375
56,26.5625,3.9536042944785272,0,6.5,1,1,0.01,0.02,0.02,4,2,0.0375
57,26.5625,3.95370090634441,0,6.6000000000000005,1,1,0.01,0.02,0.02,4,2,0.0375
58,26.5625,3.953794642857143,0,6.7,1,1,0.01,0.02,0.02,4,2,0.0375
59,26.5625,3.953885630498533,0,6.800000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
60,26.5625,3.953973988439306,0,6.9,1,1,0.01,0.02,0.02,4,2,0.0375
61,26.5625,3.9540598290598297,0,7,1,1,0.01,0.02,0.02,4,2,0.0375
62,26.5625,3.954143258426966,0,7.1000000000000005,1,1,0.01,0.02,0.02,4,2,0.0375
63,26.5625,3.954224376731302,0,7.2,1,1,0.01,0.02,0.02,4,2,0.0375
64,26.5625,3.9543032786885246,0,7.300000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
65,26.5625,3.9543800539083556,0,7.4,1,1,0.01,0.02,0.02,4,2,0.0375
66,26.5625,3.954454787234042,0,7.5,1,1,0.01,0.02,0.02,4,2,0.0375
67,26.5625,3.9545275590551183,0,7.6000000000000005,1,1,0.01,0.02,0.02,4,2,0.0375
68,26.5625,3.9545984455958543,0,7.7,1,1,0.01,0.02,0.02,4,2,0.0375
69,26.5625,3.954667519181586,0,7.800000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
70,26.5625,3.954734848484848,0,7.9,1,1,0.01,0.02,0.02,4,2,0.0375
71,26.5625,3.9548004987531167,0,8,1,1,0.01,0.02,0.02,4,2,0.0375
72,26.5625,3.9548645320197044,0,8.100000000000001,1,1,0.01,0.02,0.02,4,2,0.0375
73,26.5625,3.9549270072992697,0,8.2,1,1,0.01,0.02,0.02,4,2,0.0375
74,26.5625,3.9549879807692303,0,8.3,1,1,0.01,0.02,0.02,4,2,0.0375
