scenario_id,E,N_s,N_w,p_s,p_w,r_s,r_w,q_s,q_w,k_s,k_w,c
1,18.75,3.931372549019608,0,1,1,1,0.01,0.02,0.02,4,2,0.05
2,34.375,3.855769230769231,0,2,1,1,0.01,0.02,0.02,4,2,0.05
3,18.75,3.933928571428572,0,1,1.1,1,0.01,0.02,0.02,4,2,0.05
4,34.375,3.8649122807017546,0,2,1.1,1,0.01,0.02,0.02,4,2,0.05
5,18.75,3.9360655737704926,0,1,1.2,1,0.01,0.02,0.02,4,2,0.05
6,34.375,3.8725806451612907,0,2,1.2,1,0.01,0.02,0.02,4,2,0.05
7,18.75,3.937878787878788,0,1,1.3,1,0.01,0.02,0.02,4,2,0.05
8,34.375,3.8791044776119405,0,2,1.3,1,0.01,0.02,0.02,4,2,0.05
9,18.75,3.9394366197183106,0,1,1.4,1,0.01,0.02,0.02,4,2,0.05
10,34.375,3.8847222222222233,0,2,1.4,1,0.01,0.02,0.02,4,2,0.05
11,18.75,3.9407894736842106,0,1,1.5,1,0.01,0.02,0.02,4,2,0.05
12,34.375,3.88961038961039,0,2,1.5,1,0.01,0.02,0.02,4,2,0.05
13,18.75,3.9419753086419758,0,1,1.6,1,0.01,0.02,0.02,4,2,0.05
14,34.375,3.893902439024391,0,2,1.6,1,0.01,0.02,0.02,4,2,0.05
15,18.75,3.9430232558139533,0,1,1.7000000000000002,1,0.01,0.02,0.02,4,2,0.05
16,34.375,3.8977011494252873,0,2,1.7000000000000002,1,0.01,0.02,0.02,4,2,0.05
17,18.75,3.943956043956045,0,1,1.8,1,0.01,0.02,0.02,4,2,0.05
18,34.375,3.9010869565217403,0,2,1.8,1,0.01,0.02,0.02,4,2,0.05
19,18.75,3.944791666666667,0,1,1.9,1,0.01,0.02,0.02,4,2,0.05
20,34.375,3.9041237113402065,0,2,1.9,1,0.01,0.02,0.02,4,2,0.05
21,18.75,3.945544554455446,0,1,2,1,0.01,0.02,0.02,4,2,0.05
22,34.375,3.9068627450980395,0,2,2,1,0.01,0.02,0.02,4,2,0.05
23,18.75,3.9462264150943405,0,1,2.1,1,0.01,0.02,0.02,4,2,0.05
24,34.375,3.9093457943925243,0,2,2.1,1,0.01,0.02,0.02,4,2,0.05
25,18.75,3.946846846846847,0,1,2.2,1,0.01,0.02,0.02,4,2,0.05
26,34.375,3.911607142857143,0,2,2.2,1,0.01,0.02,0.02,4,2,0.05
27,18.75,3.9474137931034488,0,1,2.3,1,0.01,0.02,0.02,4,2,0.05
28,34.375,3.9136752136752144,0,2,2.3,1,0.01,0.02,0.02,4,2,0.05
29,18.75,3.947933884297521,0,1,2.4000000000000004,1,0.01,0.02,0.02,4,2,0.05
30,34.375,3.9155737704918034,0,2,2.4000000000000004,1,0.01,0.02,0.02,4,2,0.05
31,18.75,3.9484126984126995,0,1,2.5,1,0.01,0.02,0.02,4,2,0.05
32,34.375,3.9173228346456703,0,2,2.5,1,0.01,0.02,0.02,4,2,0.05
33,18.75,3.948854961832061,0,1,2.6,1,0.01,0.02,0.02,4,2,0.05
34,34.375,3.918939393939394,0,2,2.6,1,0.01,0.02,0.02,4,2,0.05
35,18.75,3.949264705882353,0,1,2.7,1,0.01,0.02,0.02,4,2,0.05
36,34.375,3.9204379562043794,0,2,2.7,1,0.01,0.02,0.02,4,2,0.05
37,18.75,3.9496453900709225,0,1,2.8,1,0.01,0.02,0.02,4,2,0.05
38,34.375,3.9218309859154936,0,2,2.8,1,0.01,0.02,0.02,4,2,0.05
39,18.75,3.9500000000000006,0,1,2.9000000000000004,1,0.01,0.02,0.02,4,2,0.05
40,34.375,3.923129251700681,0,2,2.9000000000000004,1,0.01,0.02,0.02,4,2,0.05
41,18.75,3.9503311258278146,0,1,3,1,0.01,0.02,0.02,4,2,0.05
42,34.375,3.924342105263158,0,2,3,1,0.01,0.02,0.02,4,2,0.05
43,18.75,3.9506410256410263,0,1,3.1,1,0.01,0.02,0.02,4,2,0.05
44,34.375,3.92547770700637,0,2,3.1,1,0.01,0.02,0.02,4,2,0.05
45,18.75,3.9509316770186342,0,1,3.2,1,0.01,0.02,0.02,4,2,0.05
46,34.375,3.926543209876544,0,2,3.2,1,0.01,0.02,0.02,4,2,0.05
47,18.75,3.951204819277108,0,1,3.3000000000000003,1,0.01,0.02,0.02,4,2,0.05
48,34.375,3.9275449101796407,0,2,3.3000000000000003,1,0.01,0.02,0.02,4,2,0.05
49,18.75,3.9514619883040933,0,1,3.4000000000000004,1,0.01,0.02,0.02,4,2,0.05
50,34.375,3.9284883720930233,0,2,3.4000000000000004,1,0.01,0.02,0.02,4,2,0.05
51,18.75,3.9517045454545463,0,1,3.5,1,0.01,0.02,0.02,4,2,0.05
52,34.375,3.9293785310734473,0,2,3.5,1,0.01,0.02,0.02,4,2,0.05
53,18.75,3.9519337016574596,0,1,3.6,1,0.01,0.02,0.02,4,2,0.05
54,34.375,3.9302197802197814,0,2,3.6,1,0.01,0.02,0.02,4,2,0.05
55,18.75,3.952150537634409,0,1,3.7,1,0.01,0.02,0.02,4,2,0.05
56,34.375,3.9310160427807492,0,2,3.7,1,0.01,0.02,0.02,4,2,0.05
57,18.75,3.952356020942409,0,1,3.8000000000000003,1,0.01,0.02,0.02,4,2,0.05
58,34.375,3.931770833333334,0,2,3.8000000000000003,1,0.01,0.02,0.02,4,2,0.05
59,18.75,3.952551020408164,0,1,3.9000000000000004,1,0.01,0.02,0.02,4,2,0.05
60,34.375,3.932487309644671,0,2,3.9000000000000004,1,0.01,0.02,0.02,4,2,0.05
61,18.75,3.9527363184079602,0,1,4,1,0.01,0.02,0.02,4,2,0.05
62,34.375,3.9331683168316833,0,2,4,1,0.01,0.02,0.02,4,2,0.05
63,18.75,3.9529126213592236,0,1,4.1,1,0.01,0.02,0.02,4,2,0.05
64,34.375,3.933816425120773,0,2,4.1,1,0.01,0.02,0.02,4,2,0.05
65,18.75,3.9530805687203796,0,1,4.2,1,0.01,0.02,0.02,4,2,0.05
66,34.375,3.9344339622641518,0,2,4.2,1,0.01,0.02,0.02,4,2,0.05
67,18.75,3.9532407407407413,0,1,4.300000000000001,1,0.01,0.02,0.02,4,2,0.05
68,34.375,3.935023041474655,0,2,4.300000000000001,1,0.01,0.02,0.02,4,2,0.05
