time,stock_price,price,scenario_label
0,Strong stock,1,None
0,Weak stock,1,None
0.1,Strong stock,1,None
0.1,Weak stock,1,None
0.2,Strong stock,1,None
0.2,Weak stock,1,None
0.30000000000000004,Strong stock,1,None
0.30000000000000004,Weak stock,1,None
0.4,Strong stock,1,None
0.4,Weak stock,1,None
0.5,Strong stock,1,None
0.5,Weak stock,1,None
0.6000000000000001,Strong stock,1,None
0.6000000000000001,Weak stock,1,None
0.7000000000000001,Strong stock,1,None
0.7000000000000001,Weak stock,1,None
0.8,Strong stock,1,None
0.8,Weak stock,1,None
0.9,Strong stock,1,None
0.9,Weak stock,1,None
1,Strong stock,1,None
1,Weak stock,1,None
1.1,Strong stock,1,None
1.1,Weak stock,1,None
1.2000000000000002,Strong stock,1,None
1.2000000000000002,Weak stock,1,None
1.3,Strong stock,1,None
1.3,Weak stock,1,None
1.4000000000000001,Strong stock,1,None
1.4000000000000001,Weak stock,1,None
1.5,Strong stock,1,None
1.5,Weak stock,1,None
1.6,Strong stock,1,None
1.6,Weak stock,1,None
1.7000000000000002,Strong stock,1,None
1.7000000000000002,Weak stock,1,None
1.8,Strong stock,1,None
1.8,Weak stock,1,None
1.9000000000000001,Strong stock,1,None
1.9000000000000001,Weak stock,1,None
2,Strong stock,1,None
2,Weak stock,1,None
2.1,Strong stock,1,None
2.1,Weak stock,1,None
2.2,Strong stock,1,None
2.2,Weak stock,1,None
2.3000000000000003,Strong stock,1,None
2.3000000000000003,Weak stock,1,None
2.4000000000000004,Strong stock,1,None
2.4000000000000004,Weak stock,1,None
2.5,Strong stock,1,None
2.5,Weak stock,1,None
2.6,Strong stock,1,None
2.6,Weak stock,1,None
2.7,Strong stock,1,None
2.7,Weak stock,1,None
2.8000000000000003,Strong stock,1,None
2.8000000000000003,Weak stock,1,None
2.9000000000000004,Strong stock,1,None
2.9000000000000004,Weak stock,1,None
3,Strong stock,1,None
3,Weak stock,1,None
3.1,Strong stock,1,None
3.1,Weak stock,1,None
3.2,Strong stock,1,None
3.2,Weak stock,1,None
3.3000000000000003,Strong stock,1,None
3.3000000000000003,Weak stock,1,None
3.4000000000000004,Strong stock,1,None
3.4000000000000004,Weak stock,1,None
3.5,Strong stock,1,None
3.5,Weak stock,1,None
3.6,Strong stock,1,None
3.6,Weak stock,1,None
3.7,Strong stock,1,None
3.7,Weak stock,1,None
3.8000000000000003,Strong stock,1,None
3.8000000000000003,Weak stock,1,None
3.9000000000000004,Strong stock,1,None
3.9000000000000004,Weak stock,1,None
4,Strong stock,1,None
4,Weak stock,1,None
4.1000000000000005,Strong stock,1,None
4.1000000000000005,Weak stock,1,None
4.2,Strong stock,1,None
4.2,Weak stock,1,None
4.3,Strong stock,1,None
4.3,Weak stock,1,None
4.4,Strong stock,1,None
4.4,Weak stock,1,None
4.5,Strong stock,1,None
4.5,Weak stock,1,None
4.6000000000000005,Strong stock,1,None
4.6000000000000005,Weak stock,1,None
4.7,Strong stock,1,None
4.7,Weak stock,1,None
4.800000000000001,Strong stock,1,None
4.800000000000001,Weak stock,1,None
4.9,Strong stock,1,None
4.9,Weak stock,1,None
5,Strong stock,1,None
5,Weak stock,1,None
5.1000000000000005,Strong stock,1,None
5.1000000000000005,Weak stock,1,None
5.2,Strong stock,1,None
5.2,Weak stock,1,None
5.300000000000001,Strong stock,1,None
5.300000000000001,Weak stock,1,None
5.4,Strong stock,1,None
5.4,Weak stock,1,None
5.5,Strong stock,1,None
5.5,Weak stock,1,None
5.6000000000000005,Strong stock,1,None
5.6000000000000005,Weak stock,1,None
5.7,Strong stock,1,None
5.7,Weak stock,1,None
5.800000000000001,Strong stock,1,None
5.800000000000001,Weak stock,1,None
5.9,Strong stock,1,None
5.9,Weak stock,1,None
6,Strong stock,1,None
6,Weak stock,1,None
6.1000000000000005,Strong stock,1,None
6.1000000000000005,Weak stock,1,None
6.2,Strong stock,1,None
6.2,Weak stock,1,None
6.300000000000001,Strong stock,1,None
6.300000000000001,Weak stock,1,None
6.4,Strong stock,1,None
6.4,Weak stock,1,None
6.5,Strong stock,1,None
6.5,Weak stock,1,None
6.6000000000000005,Strong stock,1,None
6.6000000000000005,Weak stock,1,None
6.7,Strong stock,1,None
6.7,Weak stock,1,None
6.800000000000001,Strong stock,1,None
6.800000000000001,Weak stock,1,None
6.9,Strong stock,1,None
6.9,Weak stock,1,None
7,Strong stock,1,None
7,Weak stock,1,None
7.1000000000000005,Strong stock,1,None
7.1000000000000005,Weak stock,1,None
7.2,Strong stock,1,None
7.2,Weak stock,1,None
7.300000000000001,Strong stock,1,None
7.300000000000001,Weak stock,1,None
7.4,Strong stock,1,None
7.4,Weak stock,1,None
7.5,Strong stock,1,None
7.5,Weak stock,1,None
7.6000000000000005,Strong stock,1,None
7.6000000000000005,Weak stock,1,None
7.7,Strong stock,1,None
7.7,Weak stock,1,None
7.800000000000001,Strong stock,1,None
7.800000000000001,Weak stock,1,None
7.9,Strong stock,1,None
7.9,Weak stock,1,None
8,Strong stock,1,None
8,Weak stock,1,None
8.1,Strong stock,1,None
8.1,Weak stock,1,None
8.200000000000001,Strong stock,1,None
8.200000000000001,Weak stock,1,None
8.3,Strong stock,1,None
8.3,Weak stock,1,None
8.4,Strong stock,1,None
8.4,Weak stock,1,None
8.5,Strong stock,1,None
8.5,Weak stock,1,None
8.6,Strong stock,1,None
8.6,Weak stock,1,None
8.700000000000001,Strong stock,1,None
8.700000000000001,Weak stock,1,None
8.8,Strong stock,1,None
8.8,Weak stock,1,None
8.9,Strong stock,1,None
8.9,Weak stock,1,None
9,Strong stock,1,None
9,Weak stock,1,None
9.1,Strong stock,1,None
9.1,Weak stock,1,None
9.200000000000001,Strong stock,1,None
9.200000000000001,Weak stock,1,None
9.3,Strong stock,1,None
9.3,Weak stock,1,None
9.4,Strong stock,1,None
9.4,Weak stock,1,None
9.5,Strong stock,1,None
9.5,Weak stock,1,None
9.600000000000001,Strong stock,1,None
9.600000000000001,Weak stock,1,None
9.700000000000001,Strong stock,1,None
9.700000000000001,Weak stock,1,None
